,Prediction_Value,Lower_Bound_95,Upper_Bound_95,Lower_Bound_68,Upper_Bound_68,ID,EQUIPMENT_NO,VALUE
1521709,2669.6825019999997,2360.1116440000001,2979.2533600000002,2515.3660723333337,2823.9989313333335,2066292.0,21.0,2751.7732238000003
1521710,2659.2749726666666,2349.704114666667,2968.8458313333335,2504.9585430000002,2813.591402,2066298.0,21.0,2698.7712707999995
1521711,2660.3319093333334,2350.7610513333334,2969.9027673333335,2506.01548,2814.6483386666673,2066304.0,21.0,2645.9504547000001
1521712,2677.1224150000003,2343.1248806666667,3011.1199493333334,2510.6296540000003,2843.6151759999998,2066310.0,21.0,2630.1999816999996
1521713,2674.0529256666669,2340.0553913333333,3008.0504603333334,2507.560164666666,2840.5456870000003,2066316.0,21.0,2634.8212738000002
1521714,2681.5046213333335,2347.507087,3015.502155666667,2515.0118600000001,2847.9973826666665,2066322.0,21.0,2715.6036377
1521715,2674.9143926666666,2340.916858333333,3008.9119273333331,2508.4216316666666,2841.4071533333336,2066328.0,21.0,2523.2964477999999
1521716,2643.3743663333335,2142.6805669999999,3144.0681653333336,2393.7860173333333,2892.9627149999997,2066334.0,21.0,2600.9075622999999
1521717,2665.3573583333332,2164.6635590000001,3166.0511576666668,2415.7690096666665,2914.9457070000003,2066340.0,21.0,2790.5500335000002
1521718,2687.6988330000004,2187.0050340000003,3188.392632333333,2438.1104843333333,2937.287182,2066346.0,21.0,2565.3488464000002
1521719,2704.5989410000002,2203.9051419999996,3205.2927403333329,2455.0105923333335,2954.1872896666664,2066352.0,21.0,2699.5893707999999
1521720,2199.508330666667,668.07626070000003,3730.9404,1436.1124139999999,2962.9042469999999,2066358.0,21.0,2741.0576324999997
1521721,2396.7546013333335,865.32253126666672,3928.1866709999995,1633.3586846666667,3160.1505173333335,2066364.0,21.0,2672.8506010999999
1521722,2535.590921333333,1004.1588513333332,4067.0229913333333,1772.1950049999998,3298.9868373333334,2066370.0,21.0,2807.5170899
1521723,2713.5107506666664,1182.078681,4244.9428206666662,1950.1148346666669,3476.9066669999997,2066376.0,21.0,2736.2496641999996
1521724,2263.5809056666662,927.28546459999995,3599.8763469999999,1597.4576719999998,2929.7041396666668,2066382.0,21.0,2670.6571198000001
1521725,2423.3809346666662,1087.0854933333333,3759.6763759999999,1757.2577009999998,3089.5041686666664,2066388.0,21.0,2539.3506318000004
1521726,2551.1792973333336,1214.8838559999999,3887.4747383333329,1885.0560636666669,3217.3025309999998,2066394.0,21.0,2782.1560669000005
1521727,2716.498795,1380.2033536666668,4052.7942360000002,2050.3755610000003,3382.6220286666671,2066400.0,21.0,2624.7623748999999
1521728,3003.3232966666669,1726.2551836666669,4280.3914096666676,2366.7239976666665,3639.9225959999999,2066406.0,21.0,2748.9644012999997
1521729,3143.6519649999996,1866.5838526666666,4420.7200776666659,2507.0526663333335,3780.251264,2066412.0,21.0,3041.1453246999999
1521730,3273.0989863333339,1996.030874,4550.1670996666662,2636.4996876666664,3909.6982859999994,2066418.0,21.0,3088.2558442
1521731,3383.1462043333336,2106.0780916666668,4660.2143173333325,2746.5469053333331,4019.7455033333331,2066424.0,21.0,3284.5921480000002
1521732,3666.2643989999997,2312.1417550000001,5020.3870433333332,2991.2545720000003,4341.274226333333,2066430.0,21.0,3189.8557283
1521733,3709.0363610000004,2354.913716333333,5063.1590050000004,3034.0265336666666,4384.0461876666668,2066436.0,21.0,3258.5177002
1521734,3763.6614913333337,2409.5388473333337,5117.7841359999993,3088.6516646666664,4438.6713186666666,2066442.0,21.0,3140.3262482
1521735,3810.8875143333335,2456.764869666667,5165.010158,3135.8776870000002,4485.8973409999999,2066448.0,21.0,3072.8857879000002
1521736,3769.678202333333,2354.1942859999999,5185.1621183333336,3064.0807013333329,4475.2757033333337,2066454.0,21.0,3078.0130005000005
1521737,3791.5658846666665,2376.081968,5207.0498003333332,3085.9683836666668,4497.1633849999998,2066460.0,21.0,3201.5345765000002
1521738,3805.6994003333334,2390.2154840000003,5221.1833159999996,3100.1018993333332,4511.2969006666672,2066466.0,21.0,3213.7052917000001
1521739,3831.3001100000001,2415.816194,5246.7840266666672,3125.7026096666668,4536.8976109999994,2066472.0,21.0,3149.0088194999998
1521740,3865.9821746666662,2493.8956913333332,5238.0686586666661,3182.0176436666666,4549.9467063333332,2066478.0,21.0,3163.1924439999998
1521741,3875.3594699999999,2503.2729859999999,5247.4459536666664,3191.3949383333334,4559.3240016666668,2066484.0,21.0,3227.9975279999994
1521742,3882.1869613333329,2510.1004779999998,5254.2734449999998,3198.2224303333333,4566.1514930000003,2066490.0,21.0,3239.0762939999995
1521743,3890.0781656666672,2517.9916816666664,5262.1646493333328,3206.1136336666664,4574.0426969999999,2066496.0,21.0,3232.7966766999998
1521744,3897.2352023333333,2505.0716913333331,5289.3987139999999,3203.2625739999999,4591.2078309999997,2069496.0,21.0,3152.3448029000001
1521746,3896.5279740000005,2504.3644629999999,5288.6914849999994,3202.5553453333337,4590.5006026666661,2069502.0,21.0,3507.6141967000003
1521747,3889.3246846666661,2497.1611733333334,5281.4881956666659,3195.3520560000002,4583.2973133333335,2069508.0,21.0,3661.2217865999996
1521748,3478.5340476666665,2055.2136930000001,4901.8544033333328,2769.0301999999997,4188.0378963333342,2069514.0,21.0,3711.9602357000008
1521749,3437.684122666667,2014.3637673333335,4861.0044776666664,2728.1802743333337,4147.1879706666668,2069520.0,21.0,3727.9757537999999
1521750,3415.9456363333338,1992.6252813333333,4839.2659913333337,2706.4417886666665,4125.4494843333332,2069526.0,21.0,3781.8737184000001
1521751,3393.473958,1970.1536026666665,4816.794312666666,2683.9701093333333,4102.9778056666664,2069532.0,21.0,3620.0607910000003
1521752,3220.586284333333,1913.8998550000003,4527.2727139999997,2569.2226990000004,3871.9498699999999,2069538.0,21.0,3632.9231568
1521753,3214.6690689999996,1907.9826396666667,4521.3554986666668,2563.3054836666665,3866.0326543333335,2069544.0,21.0,3674.1527405000002
1521754,3200.9847286666663,1894.298299,4507.6711583333336,2549.6211433333333,3852.3483143333337,2069550.0,21.0,3797.9388581000003
1521755,3191.703245666667,1885.0168160000001,4498.3896749999994,2540.3396600000001,3843.0668313333335,2069556.0,21.0,3806.6686247999996
1521756,3357.5870596666668,2003.0859296666667,4712.0881893333335,2682.388563,4032.7855556666668,2069562.0,21.0,3662.6281431999996
1521757,3327.6428020000003,1973.141672,4682.1439319999999,2652.4443056666673,4002.8412986666667,2069568.0,21.0,3717.1917266999999
1521758,3269.1470055,1915.0786865,4623.2153250000001,2594.1642590000001,3944.1297530000002,2069574.0,21.0,3726.3649902000002
1521759,3263.8370209999998,1909.7687019999998,4617.9053404999995,2588.8542745000004,3938.8197685,2069580.0,21.0,3724.1028136
1521760,3128.7235809999997,1805.933916,4451.5132469999999,2469.332774,3788.1143880000004,2069586.0,21.0,3835.7374267999999
1521761,3112.6186629999997,1789.828998,4435.4083289999999,2453.227856,3772.0094710000003,2069592.0,21.0,3622.1633148000001
1521856,7128.1640730000008,5760.8034729999999,8495.5246740000002,6446.5553229999996,7809.7728230000002,2070162.0,21.0,4128.6871031999999
1521857,7114.3894989999999,5747.0288979999996,8481.7500999999993,6432.7807490000005,7795.9982489999993,2070168.0,21.0,4168.1239013999993
1521858,7101.9796150000002,5734.6190139999999,8469.3402150000002,6420.3708649999999,7783.5883650000005,2070174.0,21.0,4235.3508302
1521859,7079.6923610000003,5712.33176,8447.0529609999994,6398.083611,7761.3011099999994,2070180.0,21.0,4047.0923767000004
1521860,7079.8732739999996,5744.1339655000002,8415.6125820000016,6414.0272640000003,7745.7192835000005,2070186.0,21.0,4142.4664917
1521861,7037.9715315000003,5702.232223,8373.7108394999996,6372.1255215000001,7703.8175409999994,2070192.0,21.0,4269.5961914
1521862,7003.1608655,5667.4215569999997,8338.9001730000018,6337.3148550000005,7669.006875,2070198.0,21.0,4149.5820313000004
1521863,6952.9958185000005,5617.2565104999994,8288.7351269999999,6287.1498090000005,7618.8418284999998,2070204.0,21.0,4141.3381956999992
1521864,6768.6402280000002,5560.0140346666667,7977.2664223333331,6166.1581993333339,7371.1222573333334,2070210.0,21.0,3794.6774596999999
1521865,6662.3947999999991,5453.7686066666656,7871.020994333333,6059.9127713333328,7264.8768289999998,2070216.0,21.0,3370.6726837000001
1521866,6563.6067640000001,5354.9805699999997,7772.2329576666671,5961.1247346666669,7166.0887926666664,2070222.0,21.0,3232.5025329
